,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08,0.0,0.0,0.0,0.12,0.61,0.0,0.65,0.66,0.63,0.7,0.65,0.63,0.67,0.0,0.1,0.71,0.73,0.78,0.63,0.7,0.56,0.66,0.68,0.68,0.66,0.89,0.83,0.0,0.8,0.78,0.9,0.84,0.81,0.83,0.88,0.9,0.77,0.9,0.85,0.74,0.85,0.89,0.83,0.84,0.91,0.85,0.84,0.97,0.98,0.95,0.0,0.97,0.97,0.96,0.95,0.92,0.0,0.92,0.96,0.93,0.96,0.94,0.87,0.95,0.93,0.96,0.95,0.97,0.95,0.99,0.99,0.0,0.98,0.0,0.98,0.99,0.97,0.95,0.98,0.97,0.98,0.97,1.0,1.0,0.98,0.98,0.98,0.98,1.0,0.98,0.98,0.99,1.0,1.0,1.0,1.0,1.0,0.0,0.99,0.99,1.0,1.0,1.0,1.0,0.98,1.0,0.99,1.0,1.0,0.99,0.99,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.07,0.0,0.0,0.0,0.14,0.66,0.0,0.64,0.68,0.61,0.7,0.67,0.62,0.72,0.0,0.09,0.65,0.71,0.75,0.63,0.75,0.57,0.63,0.62,0.74,0.7,0.91,0.83,0.0,0.85,0.81,0.91,0.85,0.81,0.84,0.88,0.92,0.83,0.94,0.81,0.75,0.9,0.85,0.85,0.84,0.84,0.82,0.86,0.98,0.96,0.95,0.0,0.94,0.98,0.97,0.93,0.94,0.0,0.95,0.97,0.93,0.96,0.93,0.92,0.95,0.95,0.96,0.95,0.98,0.97,0.99,0.98,0.0,0.98,0.0,0.98,0.98,0.98,0.97,0.98,1.0,0.99,0.98,1.0,0.99,0.98,1.0,0.98,0.98,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.99,1.0,0.0,1.0,0.99,0.99,0.99,0.99,0.99,1.0,1.0,1.0,0.99,1.0,0.98,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,0.0,0.0,0.0,0.13,0.67,0.0,0.67,0.7,0.67,0.72,0.68,0.61,0.72,0.0,0.06,0.64,0.69,0.73,0.67,0.72,0.6,0.67,0.58,0.77,0.7,0.91,0.79,0.0,0.8,0.81,0.84,0.79,0.83,0.87,0.87,0.85,0.83,0.92,0.88,0.68,0.9,0.86,0.87,0.89,0.86,0.83,0.89,0.93,0.91,0.96,0.0,0.95,0.96,0.92,0.94,0.97,0.0,0.95,0.99,0.94,0.95,0.98,0.97,0.94,0.95,0.92,0.96,0.95,0.96,0.98,0.97,0.0,0.98,0.0,1.0,0.96,0.97,0.98,0.99,0.99,0.98,0.94,1.0,0.98,1.0,0.99,0.96,0.98,0.99,1.0,0.98,1.0,1.0,1.0,1.0,0.98,0.99,0.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,0.99,0.99,0.99,1.0,1.0,1.0,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.0,0.0,0.0,0.14,0.68,0.0,0.65,0.61,0.66,0.68,0.7,0.61,0.72,0.0,0.08,0.63,0.65,0.76,0.68,0.71,0.57,0.71,0.59,0.74,0.7,0.89,0.81,0.0,0.76,0.76,0.89,0.82,0.85,0.84,0.9,0.86,0.85,0.86,0.86,0.75,0.9,0.83,0.88,0.84,0.81,0.8,0.92,0.93,0.9,0.95,0.0,0.95,0.96,0.97,0.91,0.97,0.0,0.98,0.97,0.96,0.95,0.97,0.97,0.94,0.95,0.93,0.93,0.91,0.97,1.0,0.99,0.0,1.0,0.0,1.0,0.98,0.99,0.98,1.0,0.97,0.98,0.96,0.98,0.99,0.98,0.99,0.97,0.96,1.0,0.99,0.99,1.0,1.0,1.0,1.0,0.99,1.0,0.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.13,0.0,0.0,0.0,0.15,0.72,0.0,0.63,0.65,0.68,0.63,0.69,0.65,0.71,0.0,0.09,0.62,0.66,0.82,0.63,0.69,0.55,0.67,0.62,0.81,0.68,0.88,0.79,0.0,0.76,0.75,0.9,0.84,0.86,0.88,0.86,0.86,0.83,0.87,0.84,0.81,0.86,0.86,0.9,0.85,0.78,0.83,0.89,0.95,0.92,0.96,0.0,0.97,0.93,0.92,0.91,0.97,0.0,0.98,0.96,0.92,0.97,0.95,0.98,0.93,0.94,0.92,0.94,0.96,0.95,1.0,0.98,0.0,0.99,0.0,1.0,0.98,0.98,1.0,0.99,0.97,0.97,0.98,0.98,0.99,0.98,0.99,0.98,0.97,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.99,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.12,0.0,0.0,0.0,0.19,0.75,0.0,0.62,0.71,0.65,0.6,0.69,0.65,0.69,0.0,0.08,0.64,0.71,0.79,0.67,0.71,0.61,0.71,0.65,0.74,0.66,0.88,0.82,0.0,0.74,0.77,0.88,0.87,0.87,0.88,0.9,0.89,0.86,0.91,0.82,0.81,0.82,0.86,0.88,0.9,0.82,0.84,0.86,0.98,0.89,0.95,0.0,0.96,0.94,0.92,0.93,0.93,0.0,0.97,0.93,0.94,0.94,0.95,0.96,0.91,0.94,0.91,0.95,0.95,0.95,0.99,0.99,0.0,1.0,0.0,1.0,0.98,1.0,1.0,0.97,0.97,0.99,0.99,1.0,0.97,1.0,0.98,0.97,0.97,0.99,0.98,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.99,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.18,0.73,0.0,0.62,0.78,0.66,0.59,0.68,0.62,0.67,0.0,0.1,0.59,0.74,0.79,0.65,0.71,0.61,0.73,0.72,0.7,0.66,0.9,0.79,0.0,0.78,0.81,0.88,0.89,0.86,0.87,0.92,0.91,0.86,0.92,0.86,0.87,0.82,0.88,0.9,0.9,0.84,0.86,0.85,0.97,0.9,0.95,0.0,0.95,0.92,0.96,0.96,0.96,0.0,1.0,0.97,0.95,0.93,0.93,0.92,0.92,0.94,0.87,0.95,0.9,0.95,0.99,0.98,0.0,0.99,0.0,1.0,0.98,0.98,0.99,0.98,0.98,0.98,1.0,0.98,0.99,0.97,0.99,0.98,0.96,0.99,0.97,0.97,0.96,0.98,1.0,0.99,1.0,0.99,0.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.18,0.0,0.0,0.0,0.16,0.69,0.0,0.6,0.75,0.65,0.64,0.64,0.59,0.68,0.0,0.11,0.59,0.72,0.82,0.63,0.72,0.58,0.72,0.69,0.71,0.6,0.91,0.78,0.0,0.79,0.81,0.86,0.9,0.83,0.85,0.91,0.94,0.87,0.84,0.82,0.86,0.8,0.89,0.89,0.89,0.85,0.87,0.91,0.97,0.99,0.92,0.0,0.94,0.92,0.94,0.95,0.97,0.0,0.97,0.97,0.93,0.89,0.96,0.96,0.96,0.94,0.91,0.94,0.94,0.95,0.99,0.98,0.0,0.99,0.0,0.98,0.99,0.98,0.99,0.98,1.0,0.99,0.99,1.0,0.99,0.99,0.99,0.98,0.97,0.97,0.99,0.98,0.99,1.0,1.0,1.0,1.0,0.99,0.0,1.0,1.0,0.99,1.0,0.99,1.0,0.98,1.0,1.0,0.98,0.98,0.99,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.19,0.0,0.0,0.0,0.15,0.66,0.0,0.57,0.7,0.69,0.72,0.67,0.58,0.73,0.0,0.11,0.55,0.69,0.79,0.69,0.7,0.57,0.73,0.75,0.71,0.54,0.86,0.8,0.0,0.78,0.82,0.91,0.95,0.87,0.92,0.9,0.91,0.9,0.87,0.82,0.89,0.84,0.9,0.89,0.87,0.84,0.88,0.93,0.94,0.95,0.95,0.0,0.9,0.94,0.98,0.93,0.95,0.0,0.97,0.94,0.92,0.9,0.92,0.96,0.96,0.97,0.89,0.96,0.96,0.96,1.0,0.97,0.0,0.99,0.0,0.98,0.98,0.97,1.0,0.96,0.99,0.97,0.99,1.0,1.0,0.99,0.99,0.98,0.97,0.95,1.0,0.99,1.0,1.0,1.0,0.99,1.0,0.99,0.0,0.99,1.0,1.0,1.0,1.0,1.0,0.98,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.18,0.0,0.0,0.0,0.13,0.65,0.0,0.61,0.68,0.61,0.68,0.73,0.63,0.72,0.0,0.1,0.56,0.74,0.79,0.69,0.68,0.61,0.72,0.68,0.72,0.58,0.77,0.82,0.0,0.75,0.86,0.88,0.91,0.92,0.92,0.85,0.92,0.89,0.85,0.88,0.87,0.86,0.87,0.87,0.83,0.85,0.88,0.92,0.93,0.92,0.98,0.0,0.91,0.94,0.98,0.92,0.95,0.0,0.99,0.94,0.91,0.91,0.9,0.94,0.97,0.95,0.9,0.95,0.96,0.96,1.0,0.99,0.0,0.98,0.0,0.98,0.99,0.96,0.98,0.99,1.0,1.0,0.99,1.0,0.97,0.99,0.96,1.0,0.97,0.95,0.99,1.0,1.0,0.99,0.99,1.0,1.0,1.0,0.0,0.99,1.0,0.99,0.99,1.0,1.0,0.98,1.0,1.0,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.2,0.0,0.0,0.0,0.14,0.69,0.0,0.63,0.71,0.67,0.71,0.73,0.63,0.69,0.0,0.09,0.59,0.73,0.8,0.68,0.66,0.59,0.72,0.75,0.71,0.58,0.86,0.83,0.0,0.8,0.89,0.86,0.88,0.87,0.9,0.85,0.87,0.87,0.87,0.86,0.86,0.9,0.83,0.84,0.89,0.87,0.87,0.94,0.95,0.96,0.96,0.0,0.94,0.96,0.97,0.93,0.95,0.0,0.93,0.93,0.91,0.92,0.96,0.97,0.98,0.92,0.92,0.93,0.93,0.95,0.98,1.0,0.0,0.99,0.0,0.97,0.99,0.97,1.0,1.0,0.99,0.98,0.97,0.99,0.99,0.99,0.95,1.0,0.98,0.98,0.99,0.98,1.0,1.0,0.99,1.0,1.0,1.0,0.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.17,0.0,0.0,0.0,0.13,0.7,0.0,0.63,0.75,0.67,0.67,0.72,0.6,0.71,0.0,0.1,0.6,0.66,0.81,0.64,0.69,0.6,0.72,0.69,0.69,0.57,0.85,0.83,0.0,0.81,0.87,0.85,0.91,0.9,0.9,0.89,0.86,0.89,0.93,0.9,0.89,0.89,0.87,0.8,0.94,0.86,0.89,0.83,0.92,0.94,0.95,0.0,0.95,0.98,0.96,0.95,0.88,0.0,0.93,0.91,0.93,0.91,0.92,0.96,0.99,0.95,0.98,0.96,0.92,0.98,0.99,0.99,0.0,0.98,0.0,0.97,0.99,0.97,0.98,0.99,0.98,1.0,0.99,0.99,1.0,0.98,0.97,0.99,0.99,0.99,0.99,0.98,1.0,1.0,0.99,1.0,1.0,1.0,0.0,0.99,1.0,0.99,0.99,1.0,1.0,0.99,0.98,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.15,0.0,0.0,0.0,0.16,0.7,0.0,0.6,0.76,0.67,0.7,0.74,0.59,0.71,0.0,0.12,0.62,0.61,0.83,0.67,0.6,0.62,0.71,0.71,0.73,0.52,0.85,0.83,0.0,0.84,0.88,0.82,0.83,0.86,0.88,0.89,0.78,0.83,0.94,0.9,0.87,0.84,0.84,0.83,0.93,0.86,0.84,0.87,0.93,0.95,0.97,0.0,0.95,0.96,0.95,0.95,0.92,0.0,0.95,0.96,0.92,0.91,0.96,0.96,0.99,0.92,0.95,0.95,0.93,0.96,0.99,0.97,0.0,0.99,0.0,1.0,0.98,0.96,0.99,1.0,0.99,0.97,0.98,0.97,1.0,0.98,0.99,1.0,0.99,0.97,0.98,0.98,1.0,1.0,0.99,1.0,1.0,1.0,0.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.99,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
